Coluna;IBGE Setor
Município-Minas Gerais;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total
310855:MG-BRASILANDIA DE MINAS;121859,149999999;206716,709999976;0;3236,66999999993;494315,429999991;1482554,1;939815,139999958;930217,240000025;4178714,43999994
310860:MG-BRASILIA DE MINAS;17156,4600000009;99281,0999999894;0;130905,820000002;1079536,99000014;1163812,02000003;2597231,64999993;70697,2299999967;5158621,27000009
310870:MG-BRAS PIRES;4214,1400000006;8086,40000000037;0;14245,8000000007;50446,7800000031;32817,6399999969;450645,780000046;2610;563066,540000048
310880:MG-BRAUNAS;2083,08999999985;2880;0;0;84529,0300000049;46310,3800000018;544959,589999964;47496,5;728258,58999997
310890:MG-BRAZOPOLIS;0;676176,400000073;0;8127,16000000015;434258,550000003;448688,079999998;1032893,66000003;246468,959999972;2846612,81000008
310900:MG-BRUMADINHO;11675452,3199999;992263,769999996;12374,1600000001;3000998,80000004;2200957,92;5807871,26;7799526,74999977;236662,720000002;31726107,6999997
310910:MG-BUENO BRANDAO;0;159171,500000004;17630,4099999964;0;480597,870000007;615616,369999987;1231714,46;112874,100000001;2617604,71
310920:MG-BUENOPOLIS;18559,200000003;17246,5800000038;0;8432;330406,080000024;276513,270000013;867798,389999988;107038,389999998;1625993,91000003
310925:MG-BUGRE;0;1100;0;19290,6700000018;44528,9400000032;199205,389999985;330072,400000014;37399,3599999985;631596,760000003
310930:MG-BURITIS;0;619277,200000015;0;33814,1900000032;1329878,46000003;1316686,73999998;2792341,47000001;4076396,00000006;10168394,0600001
310940:MG-BURITIZEIRO;0;216309,379999987;183165,610000007;37718,1600000039;934185,460000064;965659,630000018;1719908,51000001;3135850,45999992;7192797,21
310945:MG-CABECEIRA GRANDE;0;24362,3800000027;47249,5699999966;0;102289,640000007;94511,3200000059;1427250,58999994;544202,020000023;2239865,51999998
310950:MG-CABO VERDE;78086,1799999997;198010,330000005;0;17545;545733,81;556296,839999982;977981,420000002;733007,989999993;3106661,56999998
310960:MG-CACHOEIRA DA PRATA;34682,0199999921;139492,230000004;0;22351,04;143912,300000019;68374,6999999993;345496,449999999;40582,1199999992;794890,860000013
310970:MG-CACHOEIRA DE MINAS;12208,5799999982;1947340,05;0;20105,9999999991;320328,930000002;334053,579999986;1479594,08;254444,01000001;4368075,22999999
310980:MG-CACHOEIRA DOURADA;0;17770,4900000002;0;3300;16970,8400000008;41871,6500000032;1067219,35000005;1117994,41999993;2265126,74999999
310990:MG-CAETANOPOLIS;3860,8599999994;1781616,26999997;0;43130,8100000061;443261,630000032;867378,590000013;3527492,11000033;226315,509999992;6893055,78000035
311000:MG-CAETE;924486,979999997;1088132,12999999;738,639999999665;324931,989999986;1857372,18000001;4277038,19000004;4732398,48999996;124440,09;13329538,69
311010:MG-CAIANA;4400;8786,48000000045;0;4300;122418,900000001;61175,3900000043;656374,810000026;32317,9200000018;889773,500000034
311020:MG-CAJURI;0;336560,370000009;0;0;60391,850000008;91039,6299999934;484899,800000006;73153,4600000009;1046045,11000002
311030:MG-CALDAS;1665783,13999999;646646,670000019;4723;154388,050000008;891785,379999981;913235,509999987;1026273,15000001;240430,43;5543265,32999999
311040:MG-CAMACHO;0;1240,65000000037;0;4437,40000000037;39018,8900000108;29643,7600000026;481408,300000004;26030,3199999984;581779,320000017
311050:MG-CAMANDUCAIA;0;5916545,72000012;49889,4700000063;118711,169999999;1685327,83999998;3543785,06000004;1663358,82000006;236497,37999999;13214115,4600002
311060:MG-CAMBUI;36432,299999997;6093759,90000002;260481,359999994;255036,25;3785479,27999999;3002129,62;2614251,05999996;171112,860000002;16218682,63
311070:MG-CAMBUQUIRA;0;522406,109999982;0;1299,40000000037;439807,560000037;569636,070000005;967917,219999944;485597,019999987;2986663,37999996
311080:MG-CAMPANARIO;0;0;0;0;69434,9300000062;64286,410000009;570012,41000005;118039,009999998;821772,760000064
311090:MG-CAMPANHA;0;1266234,62000004;178206,859999999;8300;1048673,35000005;1176014,54000001;1248835,13999993;888841,319999988;5815105,83000001
311100:MG-CAMPESTRE;2895,41999999993;610329,540000026;10879,0099999998;994548,100000003;1089961,95000007;1080165,07000002;1946978,55000008;895643,729999957;6631401,37000015
311110:MG-CAMPINA VERDE;0;296994,669999992;0;33925,2899999972;1079586,31000004;1218892,25000006;1483283,29999992;1467658,53999996;5580340,35999998
311115:MG-CAMPO AZUL;0;0;0;0;24320,2000000104;8757,51999999862;537055,680000015;11026,6699999999;581160,070000024
311120:MG-CAMPO BELO;231613,959999997;4991105,23000007;103937,130000005;725880,020000012;4219798,47000024;7139264,96999991;2846154,77000003;484624,149999958;20742378,7000002
311130:MG-CAMPO DO MEIO;0;226457,190000027;0;19523,7900000019;418633,61000002;318639,730000027;1264648,96999998;791205,190000019;3039108,48000008
311140:MG-CAMPO FLORIDO;0;2842932,71999997;18303,6100000143;9431,60999999754;335555,650000018;634598,42999995;1994880,21999992;1351481,53000001;7187183,76999988
311150:MG-CAMPOS ALTOS;0;74419,7200000007;0;52536,2500000037;894723,330000005;821754,500000034;1283311,83000004;1861616,09;4988361,72000009
311160:MG-CAMPOS GERAIS;0;438872,810000017;1100;74125,1900000069;1695813,78000008;1292306,67;2294443,3199999;1482127,25999999;7278789,02999999
311170:MG-CANAA;0;9104,91000000015;0;2400;96734,2500000112;43478,2199999988;485902,160000008;72592,3899999904;710211,930000008
311180:MG-CANAPOLIS;0;2940676,02999998;0;0;447248,430000014;559814,299999986;1120197,25;762374,989999989;5830310,99999997
311190:MG-CANA VERDE;0;260582,120000003;0;22874,9700000025;115645,060000016;173583,43999999;588438,61000004;85113,4599999944;1246237,66000005
311200:MG-CANDEIAS;78604,7700000051;1029273,44;41426,4800000004;27085,830000001;626895,350000032;962851,260000001;1244678,90999994;471186,260000013;4482002,29999999
311205:MG-CANTAGALO;0;102552,129999999;0;61115,3099999917;75638,1500000022;26148,3699999992;605746,680000015;39888,1499999985;911088,790000005
311210:MG-CAPARAO;0;9999,6799999997;0;2609,72000000067;169946,100000016;122925,280000021;499019,560000004;23455,6699999999;827956,010000042
311220:MG-CAPELA NOVA;0;35395,9600000028;0;0;168102,050000009;55527,4299999955;752659,840000028;21687,3699999973;1033372,65000003
311230:MG-CAPELINHA;0;1099502,95000004;12002,4600000009;580354,769999989;2823517,44000008;4323324,0100001;2236356,14000005;669307,130000001;11744364,9000003
311240:MG-CAPETINGA;0;412401,570000011;0;0;224003,590000004;362097,089999997;698499,980000012;585284,390000016;2282286,62000004
311250:MG-CAPIM BRANCO;14700,9600000046;191753,770000005;0;73571,3300000001;292904,370000008;245540,500000004;573788,990000039;165949,970000003;1558209,89000006
311260:MG-CAPINOPOLIS;8470;1933522,70999996;0;14862,4999999981;1004607,06000004;833955,61000001;1303346,35;824825,890000038;5923590,12000004
311265:MG-CAPITAO ANDRADE;0;13787,8900000025;0;9354,06000000052;53027,570000004;71012,320000004;451265,989999963;44640,7700000014;643088,599999975
311270:MG-CAPITAO ENEAS;0;3042725,06999987;9011,40999999829;45773,7000000086;300048,78;319490,400000001;1809742,0700002;508548,869999989;6035340,30000006
311280:MG-CAPITOLIO;4514,16000000015;558671,569999993;9104,66999999993;136183,549999997;717252,540000005;2385193,08999997;1214238,64000002;300814,499999994;5325972,71999997
311290:MG-CAPUTIRA;3400;9631,80999999866;0;10299;207973,629999984;77669,0999999922;658851,269999951;123331,579999996;1091156,38999992
311300:MG-CARAI;48358,2899999954;23405,3200000031;0;0;167171,659999997;106216,120000002;688888,389999995;56019,3599999994;1090059,13999999
311310:MG-CARANAIBA;20027,8200000003;0;0;1100;33093,3800000064;18042,2299999958;516321,909999986;40078,0499999989;628663,389999988
311320:MG-CARANDAI;39265,1700000092;1793217,51000001;0;69365,8699999996;1286012,85000004;1939556,75000001;2057432,42999996;1023894,60000002;8208745,18000005
311330:MG-CARANGOLA;9146,48000000045;302349,670000016;241247,100000013;118448,690000009;2314651,63000026;4317206,06999997;2327901,93999991;154982,609999999;9785934,19000018
311340:MG-CARATINGA;295207,539999997;3726968,25000002;2168,3599999994;1747182,80000007;10025786,3000007;19371876,6300001;6544757,31999964;571898,869999988;42285846,0700004
311350:MG-CARBONITA;0;44372,6699999962;0;107835,800000006;269064,560000001;1517255,88999998;1422803,17999993;439393,719999988;3800725,8199999
311360:MG-CAREACU;44156,5400000066;295390,88999999;43284,0299999993;28987,4600000028;381525,090000002;239467,919999977;485564,840000007;273317,470000006;1791694,23999999
311370:MG-CARLOS CHAGAS;0;1282575,92000007;5500;63791,8600000101;554495,930000083;1167230,88999998;2809619,49999991;1221065,5;7104279,60000004
311380:MG-CARMESIA;0;0;29963,8599999994;0;47868,9000000097;59707,1899999995;395672,590000032;19441,049999998;552653,590000039
311390:MG-CARMO DA CACHOEIRA;0;81246,9699999951;0;67980,2799999993;456038,75000002;662098,929999994;2583228,10999996;1973126,31999998;5823719,35999995
311400:MG-CARMO DA MATA;0;2501818,26000011;115987,370000003;40119,9300000016;488978,510000034;336417,930000003;1010263,00999998;313669,349999992;4807254,36000012
311410:MG-CARMO DE MINAS;18281,2299999986;160918,600000002;2421,94000000134;41556,8999999948;869044,130000005;576722,170000003;1014280,38999999;1315322,51;3998547,86999999
311420:MG-CARMO DO CAJURU;264416,519999996;4624571,62000014;0;241288,830000017;1763067,87000008;1822832,73000001;2456667,25;810833,789999975;11983678,6100002
