"Código","Unidade Territorial","UF","Referência","Valor repassado aos idosos via Benefício de Prestação Continuada (BPC) por município pagador"
"310080","AGUANIL","MG","03/2018","21942"
"310080","AGUANIL","MG","02/2018","21942"
"310080","AGUANIL","MG","01/2018","21942"
"310080","AGUANIL","MG","01/2020","18702"
"310080","AGUANIL","MG","02/2020","17765"
"310080","AGUANIL","MG","03/2020","17765"
"310080","AGUANIL","MG","11/2021","15402.23"
"310080","AGUANIL","MG","04/2020","17765"
"310080","AGUANIL","MG","11/2019","18965.47"
"310080","AGUANIL","MG","05/2020","17765"
"310080","AGUANIL","MG","06/2020","16720.00"
"310080","AGUANIL","MG","07/2020","16720"
"310080","AGUANIL","MG","08/2020","15675"
"310080","AGUANIL","MG","09/2020","15675"
"310080","AGUANIL","MG","10/2020","15675"
"310080","AGUANIL","MG","11/2020","16723.03"
"310080","AGUANIL","MG","12/2020","16720"
"310080","AGUANIL","MG","01/2021","17600"
"310080","AGUANIL","MG","02/2021","17600"
"310080","AGUANIL","MG","03/2021","17600"
"310080","AGUANIL","MG","04/2021","17600"
"310080","AGUANIL","MG","05/2021","17600"
"310080","AGUANIL","MG","06/2021","17600"
"310080","AGUANIL","MG","07/2019","18962"
"310080","AGUANIL","MG","07/2021","17600"
"310080","AGUANIL","MG","08/2021","17600"
"310080","AGUANIL","MG","09/2021","16500"
"310080","AGUANIL","MG","10/2021","16500"
"310080","AGUANIL","MG","12/2021","15400"
"310080","AGUANIL","MG","09/2019","17964"
"310080","AGUANIL","MG","10/2019","18962"
"310080","AGUANIL","MG","06/2019","19960"
"310090","ÁGUAS FORMOSAS","MG","12/2021","532400"
"310090","ÁGUAS FORMOSAS","MG","09/2019","458082.8"
"310090","ÁGUAS FORMOSAS","MG","01/2018","432925.6"
"310090","ÁGUAS FORMOSAS","MG","02/2018","430063.6"
"310090","ÁGUAS FORMOSAS","MG","03/2018","431017.6"
"310090","ÁGUAS FORMOSAS","MG","04/2018","432925.6"
"310090","ÁGUAS FORMOSAS","MG","10/2019","460078.8"
"310090","ÁGUAS FORMOSAS","MG","05/2018","432925.6"
"310090","ÁGUAS FORMOSAS","MG","06/2018","432925.60"
"310090","ÁGUAS FORMOSAS","MG","07/2018","430063.6"
"310090","ÁGUAS FORMOSAS","MG","08/2018","432257.8"
"310090","ÁGUAS FORMOSAS","MG","09/2018","435119.8"
"310090","ÁGUAS FORMOSAS","MG","10/2018","437981.8"
"310090","ÁGUAS FORMOSAS","MG","11/2018","438916.68"
"310090","ÁGUAS FORMOSAS","MG","12/2018","439889.8"
"310090","ÁGUAS FORMOSAS","MG","01/2019","458082.8"
"310090","ÁGUAS FORMOSAS","MG","02/2019","459080.8"
"310090","ÁGUAS FORMOSAS","MG","03/2019","461076.8"
"310090","ÁGUAS FORMOSAS","MG","04/2019","460078.8"
"310090","ÁGUAS FORMOSAS","MG","05/2019","464070.8"
"310090","ÁGUAS FORMOSAS","MG","06/2019","465068.8"
"310090","ÁGUAS FORMOSAS","MG","07/2019","460078.8"
"310090","ÁGUAS FORMOSAS","MG","08/2019","459080.8"
"310090","ÁGUAS FORMOSAS","MG","12/2019","473052.8"
"310090","ÁGUAS FORMOSAS","MG","11/2019","474115.77"
"310090","ÁGUAS FORMOSAS","MG","01/2020","491448.4"
